# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  129       4.982701863423e-10       1.558266251687e-13      -5.573142727532e-12       7.003691395548e-16       5.071374841380e-12       8.213302195556e-13      -5.546006006245e-15 
  130       5.030514348029e-10       1.565667440088e-13      -5.637774858632e-12       7.117854396333e-16       4.962935440596e-12       8.080076996241e-13      -5.470146463104e-15 
  131       5.078360348276e-10       1.572394357787e-13      -5.700307799525e-12       7.233173247639e-16       4.857281671656e-12       7.949391237673e-13      -5.394529499127e-15 
  132       5.126230295659e-10       1.578441061245e-13      -5.760671233111e-12       7.349656145398e-16       4.754411388053e-12       7.821287943882e-13      -5.319219896703e-15 
  133       5.174113951940e-10       1.583802321708e-13      -5.818795404832e-12       7.467311353075e-16       4.654309784272e-12       7.695798371389e-13      -5.244280324790e-15 
  134       5.222000392054e-10       1.588473643134e-13      -5.874611160563e-12       7.586147200999e-16       4.556949054313e-12       7.572941663080e-13      -5.169771239695e-15 
  135       5.269877987018e-10       1.592451280121e-13      -5.928049984494e-12       7.706172085688e-16       4.462288050209e-12       7.452724502090e-13      -5.095750785848e-15 
  136       5.317734386845e-10       1.595732255840e-13      -5.979044037026e-12       7.827394469179e-16       4.370271940549e-12       7.335140765672e-13      -5.022274696586e-15 
  137       5.365556503449e-10       1.598314379961e-13      -6.027526192650e-12       7.949822878351e-16       4.280831868991e-12       7.220171179079e-13      -4.949396194926e-15 
  138       5.413330493557e-10       1.600196266583e-13      -6.073430077843e-12       8.073465904251e-16       4.193884612788e-12       7.107782969437e-13      -4.877165894350e-15 
  139       5.461041741616e-10       1.601377352164e-13      -6.116690108950e-12       8.198332201425e-16       4.109332241303e-12       6.997929519624e-13      -4.805631699576e-15 
  140       5.508674842706e-10       1.601857913452e-13      -6.157241530074e-12       8.324430487243e-16       4.027061774532e-12       6.890550022147e-13      -4.734838707345e-15 
  141       5.556213585449e-10       1.601639085410e-13      -6.195020450963e-12       8.451769541223e-16       3.946944841622e-12       6.785569133015e-13      -4.664829107192e-15 
  142       5.603640934915e-10       1.600722879148e-13      -6.229963884901e-12       8.580358204361e-16       3.868837339389e-12       6.682896625622e-13      -4.595642082228e-15 
  143       5.650939015537e-10       1.599112199853e-13      -6.262009786590e-12       8.710205378457e-16       3.792579090840e-12       6.582427044618e-13      -4.527313709921e-15 
  144       5.698090574588e-10       1.596810984878e-13      -6.291097837014e-12       8.841319497361e-16       3.718027367501e-12       6.484062281498e-13      -4.459867371072e-15 
  145       5.745083571324e-10       1.593824595501e-13      -6.317171805227e-12       8.973706883396e-16       3.645161902010e-12       6.387782540465e-13      -4.393284120557e-15 
  146       5.791907009885e-10       1.590159498053e-13      -6.340177492507e-12       9.107373226868e-16       3.573989627415e-12       6.293581743457e-13      -4.327529193324e-15 
  147       5.838549490851e-10       1.585823165675e-13      -6.360062048110e-12       9.242324095918e-16       3.504511597439e-12       6.201445024173e-13      -4.262561081489e-15 
  148       5.884999202652e-10       1.580824096946e-13      -6.376774011442e-12       9.378564932813e-16       3.436722839614e-12       6.111348513686e-13      -4.198331380559e-15 
